text,label
"Vendor Payment Memo Ref: NMRC/AP/INV/2024-25/339 dated 21/07/2024: Invoice INV-NM/HSK/0724/118 from M/s CleanTrack Services Pvt. Ltd. for station housekeeping at Sector 51–Depot corridor approved for ₹28,43,920 (inclusive of 18% GST). GRN No. GRN-5107 dated 30/06/2024 verified; TDS u/s 194C at 1% to be deducted before RTGS release. Payment target 26/07/2024 via UTR to HDFC A/c ending 2719. EMP-3099 to ensure PF/ESIC compliance declarations are on file before disbursement.",Finance
"Cost Control Report – Energy Consumption (Oct–Dec 2024): Average unit tariff for traction increased from ₹6.45/kWh to ₹6.78/kWh, leading to additional quarterly expense of ₹2.14 crore. Implementation of regenerative braking optimization on DM-405 to DM-420 reduced peak draw by 7.8%. Proposal: shift 20% depot loads at Peenya Depot to TOD off-peak slot (22:00–06:00) with projected savings ₹28.6 lakh per quarter. Prepared by EMP-1740; vetted by FA&CAO on 09/01/2025.",Finance
"Incident Report: On 12/07/2025 at 18:27 hrs, traction power trip occurred on NMRC Section Alpha-1 to Pari Chowk. SCADA alarm TP-TRIP-1207-18 linked to SSP-PC outgoing feeder OF-2 (25 kV). Patrol team led by EMP-0217 found flashover marks on porcelain insulator at mast 14/6 due to avian contact. Temporary bypass installed and feeder normalized at 19:08 hrs. Replacement insulator type B&S 120 kN ordered under Indent NMRC/TPS/IND/25/147 (₹86,300). Root cause analysis attached per SOP-TPS-07 Rev-2.",Engineering
"Crew Duty Roster Update CDR/NMRC/Nov-2025: Effective 26/11/2025, Crew Pairing CP-17 restructured to mitigate cumulative fatigue index >18. TR-402 early trip 05:42 hrs ex-Delta 1 (DL1) reassigned to EMP-1779; meal break standardized to 38 minutes at Alpha 2 (AL2). Relief controller to monitor OTP via CTRS v4.1; any variance >90s to be escalated to Duty Manager (EMP-0048) with Reason Code RC-07 (late pushback). Medical fitness records cross-checked per Policy MED-OPS-03 on 20/11/2025.",Operations
"Training Bulletin No. NMRC/TB/OPS/58/2025: A refresher program on Automatic Train Protection (ATP) for Line-1 drivers is scheduled at Depot Training Room, Sector 51, from 02/12/2025 to 04/12/2025. Batch size 12; slots TB-ATP-A (09:30–12:30) and TB-ATP-B (14:00–17:00). Attendance via biometric device BD-OP-17 is mandatory; non-compliance will impact KPA “Safety Compliance” in FY 2025-26 appraisal. Participants to carry training logbooks and submit pre-test forms (Form TRG-07). Approved budget ₹1,15,000 under Cost Centre OPS-TRG-01, Vendor: SafeRail Learning Pvt. Ltd., PO No. NMRC/PO/2025/1134.",HR
"Inspection report CIV-INS-203/2025 for Viaduct Pier P-145 near Peenya (PNY) on 05/09/2025 noted hairline cracks (0.22 mm) at cap beam soffit and minor spalling around bearing seat No. 3. UPV test velocity averaged 3.8 km/s, rebound hammer value 32, within acceptable limits of IRC:SP:51. Action: Epoxy injection (Grade CE-2), patch repair with polymer mortar, and bearing re-leveling with 6 mm shim pack. Estimated execution in night blocks over two days; budget allocation ₹3,75,000 under CAPEX-CIV-25-09.",Engineering
"Fire Safety System Maintenance Log DMRC/FS/ML-2987 dated 10/09/2025: At Dwarka Sec-21 (DWK21), aspirating smoke detector ASD-1 (Model VESDA VEP) showed high airflow fault; filter replaced and sampling pipe leak at junction J3 sealed using Class C solvent. Loop current at FACP-Loop B stabilized at 7.8mA post rectification. Functional test witnessed by Fire Officer EMP-0915; next PM scheduled 10/12/2025. Spares consumed worth ₹14,780 charged to Cost Center SAF-214.",Safety & Compliance
"Invoice Processing Log IPL/NMRC/2025/034 dated 19/02/2025: Invoice INV-EL/250214/33 from M/s Kiran Electricals for OHE spares ₹18,69,500 + GST 18% ₹3,36,510 total ₹22,06,010 received at Finance Desk. PR No. PR/EL/2025/119 linked to PO NMRC/OHE/2024/055; WCT @2% deducted as per UP VAT legacy works, balance TDS u/s 194C @1%. Payment term NET30; tentative payment run 21/03/2025 after user acceptance note by EMP-0419 and SLOC Noida Depot verification.",Finance
"Incident Report IR-BMRCL-2025-038 dated 07/07/2025: Train TR-301 approaching Majestic (MGST) encountered a brake slip alert (BCU code 0x1A) at 08:12 hrs. Operator EMP-0891 executed controlled stop 60 m before the stopping mark and activated beacon as per SOP-TM-04. Joint inspection with Alstom vendor team ref. WO-AL-2231 performed; no passenger injury, 3-minute service delay. Recommendation: replace brake pad set PN-BP-201 at next pit stop by 08/07/2025 EOD.",Safety & Compliance
"Accident Report AR-BMRCL-2025-112: On 09/11/2025 at 21:05 hrs, maintenance technician EMP-4082 sustained minor laceration while replacing wheel chock at Peenya Depot Track-4. Immediate first aid provided; no lost time. Root cause: inadequate illumination (measured 92 lux vs SOP minimum 150). Action: replace failed LED bay light (120 W, IP66) under Work Order WO-EL-772; inventory issue slip IIS-PEEN-331 raised. Review JSA JS-TRK-12 before next task.",Safety & Compliance
Disciplinary Action Memo HR/DISC/2024-118 issued to EMP-5226 for violation of SOP-ATC-04 on 19/10/2024 during operations of DM-405 between Rajiv Chowk and Mandi House. CCTV audit and OCC voice logs VL-10/19 corroborated premature door closing at 08:17 hrs. Penalty: Withholding of one increment for one year and mandatory counselling; appeal permissible within 15 days under CDA Rules 2017. Copy placed in personal file PF-5226.,HR
"Procurement Notice: DMRC invites e-tenders under NIT No. DMRC/FIN/PROC/2025/47 for supply of AFC spare modules (EMV readers, gate motors) for Lines 2, 3, and 6. Estimated cost ₹9.85 crore, EMD ₹9.85 lakh, bid submission by 05/08/2025 15:00 hrs on CPPP. Payment terms: 80% on delivery at Shastri Park Depot (SPK), 20% after successful commissioning and acceptance. Bidders must possess valid GSTIN and submit audited financial statements for FY 2021-22 to 2023-24 with minimum average annual turnover ₹20 crore.",Finance
"Procurement Notice PN/TPSS/GR-02/2025: DMRC invites bids for supply and installation of 33 kV traction power cables (3C x 400 sq.mm, XLPE, Armoured) for TPSS at Subhash Nagar and Rajouri Garden. Estimated cost ₹7,95,00,000; EMD ₹7,95,000; tender document fee ₹23,600. Bid submission by 05/08/2025, 15:00 hrs via e-tender portal; pre-bid meeting on 19/07/2025 at Shastri Park Depot Conference Room. Technical requirement: IEC 60502-2 compliance, short-circuit rating 31.5 kA for 1 sec, type test reports within last 3 years. Contact: DyCE/TP EMP-0453.",Engineering
"Safety Circular: With effect from 01/10/2025, all traction power switching on MMRC UGS-2 feeders shall follow revised SOP TP-SOP-15 Rev C. EMP-3329 (Shift Incharge) must log isolation on Form TP-06 and obtain permit-to-work from OCC (SCADA ticket SC-UG-25-671). Minimum PPE includes Class 4 rubber gloves, face shield IS 8528, and arc-rated suit ATPV ≥ 12 cal/cm². Non-compliance in incident TP-NC-25-044 at Seepz shaft resulted in minor flash; corrective training scheduled 28/09/2025, 10:00 hrs. Penalties per HR-Policy FIN-12 up to ₹5,000 for repeat violations.",Engineering
"Procurement Notice: BMRCL invites bids for supply and retrofitting of stainless steel brake discs for 12 trainsets (TR-602 to TR-613). Tender No. BMRCL/RS/PROC/2025/094, EMD ₹9,50,000; bid submission by 28/09/2025 15:00 IST via e-proc portal. Technical spec: EN 10088-1 grade X2CrNiMo17-12-2, runout ≤0.05 mm, thermal crack resistance test per IS 2740. Pre-bid meeting on 11/09/2025 at Baiyappanahalli Depot; contact EMP-1763. Warranty 36 months or 4.5 lakh km, whichever earlier.",Engineering
"Procurement Committee Resolution PC/2024/DM-58 dated 19/11/2024: Approved award to M/s Kalindi Fasteners for stainless steel bolts (Grade A2-70, IS 1367) for depot DM-405, value ₹76,48,900 plus GST @18%. Delivery within 30 days, performance bank guarantee 3% of contract value valid till 31/03/2026. Budget head CAPX-ROLL-TOOLS; payment terms 80% against inspection at Shastri Park Depot and 20% after commissioning. EMP-0384 to issue LOA referencing Tender No. DMRC/MECH/FAST/58.",Finance
"Civil Structures Inspection Memo (Phase-III Viaduct): 05/07/2025, Najafgarh to Dhansa Bus Stand. EMP-0917 and EMP-2040 recorded crack mapping on Pier P-43 cap (hairline, 0.18 mm, 1.2 m length) and honeycombing under soffit of Span 43C. Schmidt hammer average 28 rebound; core testing scheduled 09/07/2025 per IS 516. Epoxy injection (low viscosity) recommended; contractor L&T to mobilize crew by 07/07/2025. Estimated rectification cost ₹2,35,000; NCR No. CIV-NCR-0507 raised.",Engineering
"Employee Welfare Scheme Announcement: BMRCL introduces Group Personal Accident Insurance under Policy No. GPA/ICICI/2024-112 valid 01/11/2024 to 31/10/2025. Coverage: ₹15,00,000 per employee; premium fully borne by employer. Nomination details to be updated on HRMS module WEL-02 by 20/11/2024. Claim intimation to hr.welfare@bmrc.co.in within 72 hours of incident referencing Incident ID format INC-YYYY-XXXX.",HR
"Signal System Upgrade Memo Ref: SIG/ATC/UPG/2025-07 dated 05/01/2025. BMRCL Purple Line CBTC firmware from v3.4.2 to v3.5.0 scheduled on 09/01/2025 between 01:15–03:45 hrs. ATO braking curve parameters to be updated: Kb from 0.78 to 0.82; emergency brake delay reduced to 180 ms. All trackside zone controllers at stations MYS, TRM, BYP to be rebooted; pre- and post-checklists to be signed by EMP-2203 and EMP-3179. Backout plan established with CRC snapshot ID CRC-ATC-556 and rollback window of 20 minutes. No passenger impact expected; public announcement not required.",Engineering
"Fire Safety Audit Note BMRCL/FS/2025-07 dated 28/03/2025: At Jayanagar (JYN), hydrant line static pressure measured 4.1 bar vs design 4.5 bar; jockey pump auto-start delay observed at 7.2 seconds against 5 seconds per NFPA 20 and NBC 2016 Part 4. Fire extinguishers CO2 4.5 kg (Qty: 12) found with next recharge due 12/2024; vendor Bharat Fire Systems to complete servicing under PO No. BMRCL/FS/PO/1456 by 10/04/2025. Mock drill scheduled on 03/04/2025 at 11:00 hrs; Fire Warden list to be updated by EMP-1906.",Safety & Compliance
Memo: Budget Re-Allocation FY 2024-25 (DMRC/FIN/BDG/2024/88) dated 03/05/2024. Capex head CAP-DEPOT-MACH reduced by ₹4.20 crore; equivalent enhancement to CAP-SIG-ATO for line 8 ATO upgrade. Justification: tender L8/SIG/2024/12 received below estimate with savings redirected to meet exchange rate variation on imported track circuits. Approved by FA&CAO and noted in ERP Doc ID FIN-ERP-56781.,Finance
"Civil Structures Audit Excerpt (DMRC): On 21/05/2025, pier P-118 (Line-8, chainage 21+450) underwent rebound hammer test; average rebound number 34 correlating to 28–30 MPa. Crack mapping revealed three non-structural cracks <0.2 mm; epoxy injection not required. Bearing pad at Abutment A2 displayed 6 mm offset—rectification scheduled under NCR-CIV-118 with contractor Shree BuildTech Pvt. Ltd. Invoice INV-DM8-0525-441 for ₹7,85,600 kept on hold pending as-built drawings per Clause 12.4 of GCC.",Engineering
"Ticketing Audit Note TA/MMRC/REV/2025/033 dated 22/05/2025: Cash float at Gharghar Road station SJT counter was ₹12,000 against policy cap ₹10,000 per Counter Policy CP-REV-09. Over-collection attributed to surge in QR ticket sales post cricket match at Wankhede. POS device INV-AXIS-5543 reconciled with Clearing File CF-22052025; variance ₹0.00. Recommendation: increase float cap to ₹15,000 for event days; deploy one roving TVM attendant EMP-4517 between 19:00–22:30.",Operations
"Train Testing Report (DMRC RS-12 Batch): Dynamic tests conducted on 30/08/2025 for unit TR-642 on Line-7 between SHA and TPK under Test Plan TP-RS12-0308. Braking distance from 80–0 km/h measured 312 m average over five runs, within spec ≤ 320 m. HVAC load at 35°C ambient drew 38 A per car at 750 V DC; no compressor hunting observed. Door cycle endurance reached 2,00,000 cycles on car DM-642A; two rollers replaced as preventive measure. Software build RS12.v3.9 validated; defect ticket RS12-DF-117 (PA volume imbalance) pending patch by 07/09/2025.",Engineering
"Safety Circular SC-OPS-2025/15 dated 22/07/2025: All station controllers must ensure platform gap boards are displayed during monsoon hours 07:00–10:30 and 17:00–21:00. At NMRC Sector 51, a near-miss was recorded when a passenger’s umbrella tip was trapped; no injury. PSD alignment checks to be carried out weekly under Work Order WO-PSD-7285; torque for door leaf hinges to be maintained at 18±1 Nm. Compliance to be logged in e-Safety portal by EMP-5579.",Operations
"Train Testing Report: New rolling stock unit DM-405 performed dynamic brake and acceleration tests on 19/06/2025 between HSR and BPT. Acceleration 0–40 km/h averaged 0.96 m/s²; service brake deceleration 1.18 m/s² within spec TS-RS-17. Communication with onboard TCMS and CBTC Grade of Automation 2 stable; no packet loss over WLAN 5.8 GHz. Doors cycle tested 1,200 operations; two instances of misalignment on car C2 door D-08 corrected by re-calibration. Test certified by EMP-1503; provisional acceptance PA-2025-044 issued.",Engineering
"Compliance Violation Notice CVN/FS/2025/044 issued to contractor Shree Lift & Fire Services for non-functional smoke detector loops at Peenya Industry (BMRCL). Inspection on 14/08/2025 by EMP-0771 and EMP-0909 found 3/12 loops isolated without work permit; isolation tags missing; NFPA 72/IS 2189 deviation. Rectification deadline 48 hours; penalty as per contract clause 12.4(b) up to ₹1,25,000. Proof of restoration and test certificates to be uploaded to e-Safety portal Ref: ESP/FS/PI/0814.",Safety & Compliance
"OHE Breakdown Report (NMRC): On 03/09/2025 at 19:42 hrs, section from NSEZ to Noida Sector 142 experienced feeder trip on FP-04; SCADA Alarm ALM-OHE-441 logged at Sector-51 RCC. Cause: insulator flashover on cantilever bracket CB-14 due to contamination. Restoration at 20:23 hrs after replacing 25 kV insulator (Part No. OHE-INS-25kV-CT) by Team OHE-2 led by EMP-2679. Energy meter on TR-512 showed transient draw of 1.8 kA; event trended under SOP-OHE-08. Vendor supply under PO-NMRC-2025-673, cost ₹86,300.",Engineering
"Operational Efficiency Note OE/MMRC/2024-11: Analysis of weekday morning peak (07:45–09:45) on Line-3 shows average dwell time at Dadar (DDR) Platform 1 increased to 38 sec vs. target 32 sec due to boarding imbalance at doors 2 and 5 of 8-car sets. Recommendation: mark door zone guides, deploy 4 marshals, and adjust timetable slot TTS-L3-19 by +20 sec at preceding station Worli (WOR) to stabilize headway at 150 sec. Monitor via AFC tap-in counts Gate G3 sensors (G3-AFC-14/15).",Operations
"Meeting Minutes MM-OPE-SCADA-06/2025: Held at OCC Sarai Kale Khan on 28/06/2025, chaired by AGM/Systems EMP-0221. Agenda: SCADA firmware upgrade to v3.12.7 for RTUs at TPSS-INA, TPSS-AIIMS, RSS-Safdarjung. Vendor GridLogic Ltd presented rollback plan; downtime per site not to exceed 12 minutes between 01:00–03:00 hrs. Cyber audit recommends enabling TLS1.2 and rotating certificates every 180 days. Action Items: EMP-1402 to complete staging by 05/07/2025; change request CR-SYS-2025-0611 approved with budget ₹4,85,000.",Engineering
"Operational Expense Review: For April 2024, NMRC reported traction energy consumption of 7.91 million kWh at average tariff ₹7.02/kWh, total ₹5,55,78,200. Farebox revenue collected ₹18,43,67,950 across lines BL-01 to BL-04; AFC exception cases: 1,204 incidents flagged (Incident IDs AFC-240401 to AFC-240912). Cost control measures include shifting off-peak stabling for TR-301 to TR-318 at Depot-2 to reduce idle draw by 6%. EMP-2565 to implement from 10/05/2024.",Finance
"Procurement Notice PN/OPS/BMRCL/2025/074 dated 18/11/2025: Supply of platform crowd-control stanchions for 11 stations. Estimated cost ₹24,60,000; EMD ₹49,200; bid submission deadline 09/12/2025 15:00 hrs on e-portal. Technical spec requires stainless steel 304, belt length 2.3 m, base weight ≥8 kg; sample to be inspected at Peenya Depot by EMP-2368. Warranty minimum 24 months; delivery schedule in two lots aligned with peak hour management plan PEP-OPS-04.",Operations
"Signaling System Upgrade Meeting Minutes (MMRC) dated 22/07/2024: Agenda—ATC migration from CBTC v2.3 to v2.5 on Line-3 between BKC (BKC) and SEEPZ (SPZ). Vendor: Nippon Signals India Pvt. Ltd., PO No. MMRC/SIG/2024/PO-319. It was resolved to schedule dynamic tests in non-revenue hours 00:30–04:30 from 05/08/2024 to 10/08/2024. EMP-2331 noted that balise group BG-3A at chainage 12+450 requires realignment by 8 mm. Safety circular SC-SIG-18/2024 mandates dual acknowledgment during Temporary Speed Restriction (TSR) inputs in OCC SCADA.",Engineering
"Attendance Management Advisory, Ref. HR/ADM/ATT/2025/19 dated 02/05/2025: Biometric devices at Majestic (MGK) and Jayanagar (JYN) stations will undergo firmware upgrade on 04/05/2025, 14:00–16:00 hrs. Employees on shift DM-405 roster during the window must sign the manual muster (Form ATT-7) countersigned by SMR. Any mismatch between biometric and roster will be reconciled by HRIS by 07/05/2025. Unauthorized absence beyond 2 hours will attract LWP for the day as per Clause 6.2 of Attendance Policy 2023.",HR
"Audit Note AN/MMRC/OPS/HTW-07/2025: Between 07:30-08:30 on 05/11/2025, Colaba (CLB) to Hutatma Chowk (HTC) maintained average headway 2:15 min against scheduled 2:10 min; variance 3.9%. Root cause: late crew sign-in EMP-1945 (07:21 vs roster 07:15) and extended dwell at HTC due to wheelchair boarding. Recommendation: reinforce Crew Policy CP-08 with SMS alerts and allocate Platform Attendant PA-03 during morning peak. Expected on-time improvement 0.6%.",Operations
"Safety Equipment Calibration Report SER/2025/CO-TORCH: 52 out of 54 CO detectors (range 0–500 ppm, IS 9568 compliant) at Lower Parel Station calibrated on 17/11/2025 by SafeAir Instruments under PO MMRC/SA/2025/078. Two units flagged for sensor drift >10% (IDs CO-17, CO-39); replacements due by 24/11/2025. Calibration certificates uploaded to DMS Ref DMS/FS/1125/478.",Safety & Compliance
"Memo dated 14/08/2025: Recruitment Cell (DMRC/HR/REC/CIR-19/2025) approves panel for Station Controller/Train Operator (SC/TO) Grade S1. Candidates shortlisted from Advt. No. DMRC/HR/2025/07 must report for document verification at Metro Bhawan, Barakhamba Road on 24/08/2025, 09:30 hrs, carrying PAN, Aadhaar, original BE/B.Tech certificates, and NOC if employed. Travel allowance of ₹750 is admissible for outstation candidates upon submission of original tickets. Contact: EMP-1423 (Recruitment Officer) and helpdesk 011-2341-XXXX.",HR
"Meeting Minutes MOM/OPS/REV/01-2025 held 22/01/2025 at Anand Vihar (ANV): Discussed passenger complaints on long queues at AFC gates G3/G4 between 09:00–09:40. Action: add two temporary validators (Procurement PR-OPS-1187, ₹8,90,000) and redeploy two Customer Facilitation Associates (EMP-1876, EMP-2543). Trial of closed-loop queue channeling to start 29/01/2025. KPI targets: reduce average entry processing time from 14.2 sec to ≤9.5 sec and raise throughput to 2,200 pax/15 min.",Operations
"Internal Control Observation: Petty cash imprest at Depot-Koyambedu (EMP-2043 custodian) exceeded sanctioned limit of ₹40,000 on 11/08/2024; physical count found ₹63,150 with unposted vouchers PCV-2321 to PCV-2326. Recommendation: reduce imprest to ₹30,000 and enable weekly replenishment; all expenses to bear approval under Delegation of Powers 2022, Item 3(b). JV FIN/JV/2024/0811 raised to clear advances and debit non-compliant spend to Employee Recoverables.",Finance
"Attendance Audit Note AA/OPS/2024-17: Random audit of Depot-Shastri Park for September 2024 revealed 14 instances of biometric mismatch due to device lag on 09/09/2024 during power fluctuation. EMP-0456 and EMP-1220 have been advised to regularize through Attendance Regularization Form ARF-05 by 30/09/2024. IT has initiated procurement of UPS units (3 kVA, IS 16242 compliant) under PR No. DMRC/IT/PR/2024/771; expected installation by 05/10/2024.",HR
"Disciplinary Action Order BMRCL/HR/DA/2025-14: Following charge-sheet dated 01/09/2025 and inquiry under Rule 14 of the Conduct, Discipline & Appeal Rules, EMP-4774 (Station Controller, Grade NE-04) is awarded the penalty of withholding of one increment for 1 year without cumulative effect for negligence leading to platform door malfunction at MG Road Station on 17/08/2025 (Incident No. SC-PLD-2087). The employee has the right to appeal within 45 days to the Appellate Authority. Training on PSD troubleshooting module T-PSD-03 is mandated before resuming independent duty. Copy to Payroll for effect from 01/12/2025.",HR
"Disciplinary Action Memorandum DAM/MMRC/2025/021 dated 09/03/2025: EMP-2093 (Depot Technician, Aarey) charged with negligence for failure to secure traction isolation on unit DM-405 leading to minor LOTO breach (Incident ID INC-SAF/2025/144) on 07/03/2025. Preliminary inquiry by Safety Officer (SO-12) finds deviation from SOP LOTO-04 Rev-2. Employee to submit written explanation within 72 hours; enquiry officer appointed (EO/2025/06). Pending enquiry, duty shifted to non-critical tasks; no pay withholding at this stage.",HR
"Procurement Notice: BMRCL invites e-tender for supply of 1,200 nos. Pandrol e-clip FASTCLIP FC-150 for 60E1 rails, Tender No. BMRCL/PW/TRK/FC/2025-06, closing 16/10/2025 15:00 IST. Delivery to Baiyappanahalli Depot within 45 days of LOA; inspection as per IRS-T-31 and ultrasonic test EN 16729-1. EMD ₹3,20,000 via NEFT; performance bank guarantee 10% of contract value. Pre-bid meeting on 26/09/2025 at 11:00 hrs; contact EMP-0905. Make/brand to be approved list: Pandrol/Voestalpine only.",Engineering
"NMRC Track Inspection Report No. TRI-2025/11/089 dated 23/11/2025 for Section: GNW (GNW) – Pari Chowk (PCW). Ultrasonic testing with trolley UST-09 detected bolt hole crack indication at rail joint J-68, right rail, 25.5 mm from end; severity Level II per IRS-T-12. Temporary speed restriction 30 kmph imposed vide TSR-2025/11-14 until crop renewal 6 m is executed. Materials indented: 60E1 rail 13 m – 2 nos, AT weld kit – 2 sets. Responsible: EMP-2014; work block requested for 27/11/2025 02:10–04:00.",Engineering
"Meeting Minutes MOM-OPS-MMRC-07/2024 dated 19/07/2024: Agenda—crowd control at BKC (BKC) during monsoon. Station Manager EMP-2860 reported repeated water ingress near Exit 3 causing queuing at AFC line 2. Decision: reconfigure queuing lanes using retractable belts (200 m), open emergency gate for manual validation during peak 18:00–19:30 under supervision of Revenue Inspector EMP-3129, and push targeted announcements via PA Template PA-09. Procurement: Tender No. MMRC/OPS/PA/2024/18 approved for 12 additional high-gain speakers (IP66) approx. ₹9,85,000.",Operations
